Deprecated,1.2.14,1.2.14
FLAML,2.2.0,2.3.1
Jinja2,3.1.4,3.1.4
Markdown,3.6,3.7
MarkupSafe,2.1.5,3.0.1
PyPika,0.48.9,0.48.9
PyYAML,6.0.1,6.0.2
Pygments,2.18.0,2.18.0
Werkzeug,3.0.4,3.0.4
absl-py,2.1.0,2.1.0
agentops,0.3.10,0.3.13
aliyun-python-sdk-core,2.15.1,2.16.0
aliyun-python-sdk-kms,2.16.3,2.16.5
annotated-types,0.7.0,0.7.0
anyio,4.4.0,4.6.0
asgiref,3.8.1,3.8.1
asttokens,2.4.1,2.4.1
attrs,23.2.0,24.2.0
audioread,3.0.1,3.0.1
av,12.3.0,13.1.0
backoff,2.2.1,2.2.1
bcrypt,4.2.0,4.2.0
beautifulsoup4,4.12.3,4.12.3
build,1.2.2,1.2.2.post1
cachetools,5.5.0,5.5.0
certifi,2024.7.4,2024.8.30
cffi,1.16.0,1.17.1
charset-normalizer,3.3.2,3.4.0
chroma-hnswlib,0.7.6,0.7.6
chromadb,0.5.5,0.5.13
click,8.1.7,8.1.7
colorama,0.4.6,0.4.6
coloredlogs,15.0.1,15.0.1
contourpy,1.2.1,1.3.0
crcmod,1.7,1.7
cryptography,42.0.8,43.0.1
cycler,0.12.1,0.12.1
decorator,4.4.2,5.1.1
diskcache,5.6.3,5.6.3
distro,1.9.0,1.9.0
docker,7.1.0,7.1.0
executing,2.1.0,2.1.0
fastapi,0.114.0,0.115.0
filelock,3.14.0,3.16.1
flatbuffers,24.3.25,24.3.25
fonttools,4.53.1,4.54.1
fsspec,2024.6.1,2024.9.0
gTTS,2.5.3,2.5.3
google-auth,2.34.0,2.35.0
googleapis-common-protos,1.65.0,1.65.0
grpcio,1.66.1,1.66.2
h11,0.14.0,0.14.0
httpcore,1.0.5,1.0.6
httptools,0.6.1,0.6.1
httpx,0.27.2,0.27.2
huggingface-hub,0.24.6,0.25.2
humanfriendly,10,10
idna,3.7,3.1
imageio,2.35.0,2.35.1
imageio-ffmpeg,0.5.1,0.5.1
importlib_metadata,8.4.0,8.5.0
importlib_resources,6.4.5,6.4.5
intel-openmp,2021.4.0,2024.2.1
ipython,8.27.0,8.28.0
jax,0.4.30,0.4.34
jaxlib,0.4.30,0.4.34
jedi,0.19.1,0.19.1
jiter,0.5.0,0.6.1
jmespath,0.10.0,1.0.1
joblib,1.4.2,1.4.2
kiwisolver,1.4.5,1.4.7
kubernetes,30.1.0,31.0.0
lazy_loader,0.4,0.4
librosa,0.10.2.post1,0.10.2.post1
llvmlite,0.43.0,0.43.0
markdown-it-py,3.0.0,3.0.0
markdownify,0.13.1,0.13.1
matplotlib,3.9.1,3.9.2
matplotlib-inline,0.1.7,0.1.7
mdurl,0.1.2,0.1.2
mediapipe,0.10.14,0.10.15
mkl,2021.4.0,2024.2.2
ml-dtypes,0.4.0,0.5.0
mmh3,4.1.0,5.0.1
model-index,0.1.11,0.1.11
monotonic,1.6,1.6
moviepy,2.0.0.dev2,1.0.3
mpmath,1.3.0,1.3.0
msgpack,1.0.8,1.1.0
networkx,3.3,3.4
numba,0.60.0,0.60.0
numpy,1.26.4,2.1.2
oauthlib,3.2.2,3.2.2
onnxruntime,1.19.2,1.19.2
openai,1.43.0,1.51.2
opencv-contrib-python,4.10.0.84,4.10.0.84
opendatalab,0.0.10,0.0.10
openmim,0.3.9,0.3.9
opentelemetry-api,1.27.0,1.27.0
opentelemetry-exporter-otlp-proto-common,1.27.0,1.27.0
opentelemetry-exporter-otlp-proto-grpc,1.27.0,1.27.0
opentelemetry-instrumentation,0.48b0,
