Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
07-17-24_00:13:33, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 43.97, 89.66, 43.97, 89.66, 35.29, 84.33
07-17-24_00:58:44, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.3, 42.16, 89.35, 42.16, 89.35, 28.45, 78.12
07-17-24_01:06:25, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.7, 46.85, 91.32, 46.85, 91.32, 36.83, 85.71
07-17-24_12:55:48, configs/smallscale/resnet18/resnet18-usc-unsigned.yaml, example, 0.7, 42.40, 92.85, 42.40, 92.85, 36.31, 86.62
07-24-24_20:33:02, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.7, 71.61, 97.81, 72.66, 97.84, 73.48, 98.14
07-26-24_08:49:20, configs/smallscale/resnet18/resnet18-usc-unsigned.yaml, example, 0.6, 77.80, 98.72, 77.80, 98.72, 79.22, 98.90
08-09-24_11:38:35, configs/smallscale/conv8/conv8_usc_unsigned.yml, example, 0.6, 66.56, 97.09, 66.56, 97.09, 65.76, 97.00
08-09-24_16:08:52, configs/smallscale/conv8/conv8_usc_unsigned.yml, example, 0.65, 80.06, 98.91, 80.06, 98.91, 82.77, 99.24
08-10-24_20:46:27, configs/smallscale/conv8/conv8_usc_unsigned.yml, example, 0.7, 65.61, 96.75, 65.61, 96.75, 65.61, 97.07
10-11-24_23:45:07, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 44.32, 90.63, 44.32, 90.63, 35.62, 84.55
